region,solver,initial_mesh,status,elapsed_s,hc_outer_converged,hc_max_re_final,bvp_success,bvp_tol_final,bvp_n_nodes_final,bvp_max_rms_residual_final,bvp_bc_l2_residual_final,T_out,t_out,fs_out,x_out,y_out,w_out,rhob_out,p_bottom,equation_converged,abs_diff_T_out,rel_diff_T_out,abs_diff_t_out,rel_diff_t_out,abs_diff_fs_out,rel_diff_fs_out,abs_diff_x_out,rel_diff_x_out,abs_diff_y_out,rel_diff_y_out,abs_diff_w_out,rel_diff_w_out,abs_diff_rhob_out,rel_diff_rhob_out,abs_diff_p_bottom,rel_diff_p_bottom,abs_diff_outlet_max,rel_diff_outlet_max,solution_stable_vs_ref
up,hc,400,success,6.281101899920031,True,0.0007786132582121503,,,,,,556.2815126403738,1222.575382062732,1.0000690067278817,0.22599023403007718,0.2680097659699231,0.3544638995411678,1564.205680400218,7255.856092359651,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
up,hc,300,success,3.5945785001385957,True,0.0007335515266059513,,,,,,556.3199606294542,1222.5745255967636,1.000151585096197,0.22600840940528008,0.26799159059471966,0.3544646541885527,1564.3033508291944,7256.02647701553,True,0.03844798908039593,6.91160648102499e-05,0.0008564659683543141,7.005424621828085e-07,8.257836831537801e-05,8.257267024559192e-05,1.8175375202905686e-05,8.042548953901572e-05,1.8175375203433042e-05,6.781609296085405e-05,7.546473849151525e-07,2.1289823474040604e-06,0.09767042897647116,6.24409118316724e-05,0.17038465587938845,2.3482364273845222e-05,0.17038465587938845,8.257267024559192e-05,True
up,hc,200,success,1.8336147998925298,True,0.0008610736397547074,,,,,,556.219030890829,1222.5684867457107,1.0002453984063784,0.22611954103277607,0.26788045896722396,0.35457860013226455,1564.4267112528662,7252.7532252092215,True,0.06248174954475871,0.0001123203775875832,0.00689531702118984,5.639993347122732e-06,0.00017639167849670123,0.00017637950712404922,0.00012930700269889184,0.0005721796043703476,0.00012930700269914164,0.000482471234699906,0.00011470059109675024,0.0003235889218767363,0.22103085264825495,0.00014130549161009437,3.1028671504291196,0.0004276362583453674,3.1028671504291196,0.0005721796043703476,True
up,hc,100,success,1.108068099943921,True,0.0008481674476223577,,,,,,556.7762874976456,1222.5064854518623,1.0002302573106974,0.22615261539035306,0.2678473846096469,0.35432142523853316,1564.0876038644817,7255.683807541398,True,0.49477485727186377,0.000889432501402805,0.06889661086961496,5.635367101321183e-05,0.00016125058281568627,0.00016123945620840792,0.00016238136027588168,0.0007185326435578196,0.000162381360276187,0.0006058785197193521,0.0001424743026346431,0.00040194305490366585,0.11807653573623611,7.548657904504286e-05,0.17228481825259223,2.3744244105668874e-05,0.49477485727186377,0.000889432501402805,True
up,hc,50,success,0.8251708999741822,True,0.0006965926520476035,,,,,,556.4335757917709,1222.270465216027,1.0026716068741675,0.2266432989491396,0.26735670105086046,0.3543031817813247,1563.692580245949,7245.352711940451,True,0.15206315139710114,0.00027335647139402114,0.30491684670482755,0.0002494053546132846,0.0026026001462857717,0.0026024205617582326,0.0006530649190624183,0.0028897926579230034,0.0006530649190626403,0.0024367206049347072,0.00016071775984310976,0.0004534107988180157,0.5131001542688409,0.00032802601390474366,10.503380419199857,0.001447572868797635,10.503380419199857,0.0028897926579230034,False
up,hc,40,success,0.7552085998468101,True,0.0005629631843016569,,,,,,556.7907137381288,1222.1845289166183,1.0032175611488972,0.226553070849121,0.26744692915087903,0.3542406051661548,1564.0184441419267,7241.919507447835,True,0.5092010977550672,0.0009153658465803747,0.39085314611361355,0.00031969656174015646,0.0031485544210154703,0.003148337164569475,0.000562836819043816,0.002490536024529749,0.0005628368190440658,0.002100060857883922,0.00022329437501300564,0.0006299495528375295,0.18723625829125012,0.00011970053595723027,13.936584911815771,0.0019207361246443224,13.936584911815771,0.003148337164569475,False
up,hc,30,success,0.7826006999239326,True,0.000951678564627786,,,,,,556.8394782839451,1222.0429897064157,1.0029859952899203,0.22656156512476994,0.26743843487523006,0.3541969703283072,1564.526361192668,7229.345091135022,True,0.5579656435713787,0.0010030274795993332,0.5323923563162225,0.0004354679180746867,0.0029169885620385916,0.0029167872840921896,0.0005713310946927619,0.0025281229392272015,0.0005713310946930394,0.0021317547613438686,0.00026692921286058935,0.000753050488938685,0.3206807924500481,0.00020501190889934541,26.51100122462867,0.0036537385647083757,26.51100122462867,0.0036537385647083757,False
up,hc,29,success,0.7277960998471826,True,0.000605024628595889,,,,,,556.7319303859906,1222.022304012382,1.0029202744929948,0.2272694154553747,0.26673058454462534,0.35401705674289347,1564.195366992015,7230.9877687743065,True,0.45041774561684633,0.0008096938966728407,0.5530780503499955,0.0004523876878796962,0.00285126776511313,0.0028510710220309415,0.0012791814252975375,0.005660339398238291,0.0012791814252977596,0.004772891094727173,0.00044684279827433837,0.001260615816879376,0.010313408203046492,6.593383678550318e-06,24.868323585344115,0.0034273452048656575,24.868323585344115,0.005660339398238291,False
up,hc,28,success,0.6555625000037253,True,0.0009844034349030895,,,,,,557.457962927539,1222.0151308298,1.0034444256246213,0.2271287163850894,0.26687128361491047,0.35372827766324605,1563.8254147116372,7241.949470362285,True,1.1764502871652667,0.002114846998206502,0.5602512329319325,0.0004582549601045257,0.003375418896739646,0.003375185986198746,0.001138482355012238,0.005037750236856327,0.0011384823550126266,0.00424791369408677,0.0007356218779217549,0.0020753083145391483,0.38026568858072096,0.0002431046590263156,13.906621997365619,0.0019166066443915782,13.906621997365619,0.005037750236856327,False
up,hc,27,success,0.6277334000915289,True,0.0008637330336958235,,,,,,557.9979757271627,1222.002759725079,1.0036383699860763,0.22683758446914634,0.2671624155308538,0.3536178164717965,1563.7376215281838,7242.906965600919,True,1.7164630867889628,0.003085601530494554,0.5726223376530015,0.0004683738492156384,0.003569363258194569,0.0035691169651113795,0.0008473504390691666,0.003749500250335562,0.0008473504390693054,0.003161640158905246,0.000846083069371284,0.0023869372042300712,0.46805887203413477,0.0002992310269033016,12.949126758731836,0.001784644925960859,12.949126758731836,0.003749500250335562,False
up,hc,26,success,0.7219366999343038,True,0.0008058911144222191,,,,,,556.2489696765833,1221.972627346419,1.003045231951124,0.22717089283403655,0.2668291071659635,0.3540944754281162,1564.12718558537,7224.557109373605,True,0.03254296379043353,5.850089037827146e-05,0.6027547163130293,0.0004930204919520465,0.002976225223242368,0.002976019857849867,0.0011806588039593724,0.00522437975705728,0.0011806588039596222,0.004405282769032078,0.0003694241130516307,0.0010422051823326098,0.0784948148479998,5.018190116015696e-05,31.298982986045303,0.00431361683413248,31.298982986045303,0.00522437975705728,False
up,hc,25,success,0.6464100000448525,True,0.0009727578130525461,,,,,,557.1077473355522,1221.9542253423456,1.0029524459849768,0.22704132374806849,0.2669586762519315,0.35377616896010355,1564.125939597895,7234.2866391459675,True,0.8262346951784139,0.00148528160006022,0.6211567203863524,0.0005080723278906003,0.0028834392570951106,0.002883240294116717,0.0010510897179913103,0.004651040442090167,0.0010510897179916157,0.00392183364732154,0.0006877305810642498,0.0019401992190304165,0.0797408023229309,5.0978463588323246e-05,21.56945321368312,0.0029726958389369867,21.56945321368312,0.004651040442090167,False
up,hc,24,success,0.7700835999567062,True,0.0007877274419771551,,,,,,557.9764419255698,1221.9294034811169,1.0026707303330187,0.2283495748208114,0.26565042517918863,0.3534169929298273,1564.3806498004024,7239.219272537833,True,1.6949292851960536,0.0030468912712038943,0.6459785816150543,0.0005283752569311168,0.0026017236051369963,0.00260154408109252,0.0023593407907342157,0.010440012157428933,0.0023593407907344655,0.00880318962331857,0.0010469066113404923,0.002953492902085798,0.1749694001844091,0.0001118583076233564,16.63681982181788,0.002292881723403569,16.63681982181788,0.010440012157428933,False
up,hc,23,success,0.5968277999199927,True,0.0007668479239464963,,,,,,557.6450528605749,1221.9204161313735,1.0032407420512595,0.22729027049674122,0.26670972950325883,0.3534885505141396,1564.1167483553447,7236.338638588148,True,1.3635402202011164,0.0024511693975395894,0.654965931358447,0.0005357264189741716,0.003171735323377778,0.0031715164674039394,0.0013000364666640452,0.005752622330091585,0.0013000364666642672,0.004850705577684663,0.0009753490270282272,0.0027516173813208,0.08893204487321782,5.685444439152251e-05,19.517453771502915,0.002689889865932514,19.517453771502915,0.005752622330091585,False
up,hc,22,success,0.6756432999391109,True,0.0005731649020172115,,,,,,556.9009199865186,1221.8822959363665,1.001728409459119,0.22706477442913678,0.2669352255708631,0.3539519821321105,1564.9487631573886,7221.675160905254,True,0.6194073461448397,0.0011134782157415965,0.6930861263654151,0.0005669066599362066,0.001659402731237325,0.0016592882291860162,0.0010745403990596036,0.004754809001687181,0.00107454039906002,0.00400933300012884,0.0005119174090573164,0.001444201820608425,0.7430827571706686,0.0004750543783861873,34.18093145439616,0.004710806143245917,34.18093145439616,0.004754809001687181,False
up,hc,21,success,0.6006903001107275,True,0.0009382095156201389,,,,,,557.5788290724543,1221.8746600425502,1.0025618580040123,0.2283834259351776,0.2656165740648223,0.3531720173139819,1564.6981478609023,7237.239507645054,True,1.2973164320804926,0.0023321221406816463,0.700722020181729,0.0005731524047208191,0.0024928512761306365,0.0024926792644909355,0.002393191905100428,0.010589802322085815,0.002393191905100789,0.008929495148954237,0.0012918822271859032,0.0036446087425494305,0.4924674606843382,0.0003148354892550546,18.616584714596684,0.002565732351582851,18.616584714596684,0.010589802322085815,False
up,hc,20,success,0.6312952998559922,True,0.0007926082732358777,,,,,,559.6477524726722,1221.855046364444,1.003218723934346,0.22801194278261255,0.26598805721738744,0.3526268456945504,1562.8417857225033,7250.04491234608,True,3.3662398322984473,0.006051324294997131,0.7203356982879541,0.0005891953239501699,0.0031497172064642864,0.003149499869783809,0.0020217087525353783,0.008946000526139142,0.002021708752535656,0.0075434144917037775,0.0018370538466174202,0.005182626069947817,1.3638946777145975,0.0008719407522964826,5.811180013570265,0.0008008951582831672,5.811180013570265,0.008946000526139142,False
up,hc,19,success,2.9182086000218987,True,0.0007905814376164839,,,,,,557.3778552823969,1221.8123518644843,1.000329984713452,0.22688951799655596,0.267110482003444,0.3538757372259736,1565.648961363859,7216.356578595213,True,1.09634264202316,0.0019708414123262913,0.763030198247634,0.000624117096943542,0.0002609779855702321,0.00026095997757607153,0.0008992839664787866,0.003979304549766962,0.0008992839664790919,0.003355414916410219,0.0005881623151942073,0.001659301034479246,1.443280963640973,0.0009226925728026348,39.499513764437324,0.005443811627690625,39.499513764437324,0.005443811627690625,False
up,hc,18,success,2.812084399862215,True,0.0008081270631969962,,,,,,557.1339584045209,1221.7989292450213,1.0008967400567466,0.22866367846576607,0.2653363215342339,0.3530688266104568,1565.3383638659434,7226.191801960838,True,0.8524457641470917,0.0015323999535792284,0.7764528177106058,0.0006350960677783098,0.0008277333288648769,0.0008276762136376283,0.0026734444356888987,0.01182991135507691,0.0026734444356891762,0.009975175441887437,0.0013950729307110055,0.003935726409704468,1.1326834657254494,0.00072412693542683,29.664290398812227,0.0040883239718671445,29.664290398812227,0.01182991135507691,False
up,hc,17,success,2.6989214001223445,True,0.0009294809578229192,,,,,,558.8847472656644,1221.78683333078,1.001579207815469,0.22834352208725184,0.26565647791274805,0.35239917293328954,1564.8838655957948,7241.071687465073,True,2.603234625290611,0.00467970724558944,0.7885487319520053,0.0006449898660821748,0.0015102010875873706,0.0015100968807428461,0.002353288057174663,0.010413228993167298,0.0023532880571750514,0.008780605619569642,0.0020647266078782645,0.005824927758654489,0.6781851955768161,0.00043356522999155424,14.784404894577165,0.0020375824308512687,14.784404894577165,0.010413228993167298,False
up,hc,16,success,9.17152119986713,True,0.0007633425805926376,,,,,,557.4849620742046,1221.444813588849,0.9954350892434144,0.22788727024072722,0.26611272975927286,0.352516883510373,1568.0772413515233,7195.142808068119,True,1.2034494338308832,0.0021633820403607266,1.1305684738829314,0.0009247433659063491,0.004633917484467287,0.004633597735049271,0.0018970362106500438,0.00839432827171446,0.001897036210650238,0.007078235391105597,0.0019470160307947793,0.005492847179402682,3.871560951305355,0.0024750971050781358,60.713284291531636,0.008367487381049655,60.713284291531636,0.00839432827171446,False
up,hc,15,success,36.54748549987562,False,0.011272068918110651,,,,,,557.1748600132856,1221.3076153425184,0.9916890040483061,0.2269745503680308,0.26702544963196917,0.3519241570336609,1558.1794495432302,7183.456797122942,False,0.8933473729118759,0.001605926770191641,1.267766720213558,0.0010369640504903502,0.008380002679575616,0.008379424442913279,0.0009843163379536224,0.004355570240361002,0.0009843163379539277,0.0036726883230978635,0.0025397425075068814,0.007165024451839596,6.026230856987695,0.0038525821332178146,72.3992952367089,0.009978050048834994,72.3992952367089,0.009978050048834994,False
up,hc,14,success,78.63840189995244,False,0.03440542099924278,,,,,,546.1446184121678,1220.9606996862137,1.0234433566258363,0.228431386449145,0.265568613550855,0.3572206515272331,1532.5513199235752,7069.857035808004,False,10.13689422820596,0.01822259772770713,1.6146823765182035,0.0013207221413160698,0.023374349897954616,0.0233727370218511,0.002441152419067838,0.010802026156329143,0.0024411524190681155,0.009108445769629415,0.0027567519860652867,0.007777243295110549,31.65436047664275,0.02023669960624594,185.9990565516464,0.025634336484085134,185.9990565516464,0.025634336484085134,False
up,hc,13,success,37.884271200047806,False,0.01856630727764894,,,,,,554.4841415491258,1221.2219719767315,0.9874003479637334,0.22823595109013642,0.2657640489098636,0.35235085596008314,1547.9464872659246,7151.524728128807,False,1.79737109124801,0.003231045883076073,1.3534100860003946,0.0011070156538870576,0.012668658764148244,0.012667784601783364,0.0022457170600592435,0.009937230560858483,0.0022457170600594933,0.008379235927960606,0.0021130435810846615,0.0059612377560024285,16.259193134293355,0.010394536561287308,104.33136423084397,0.014378918614538667,104.33136423084397,0.014378918614538667,False
up,hc,12,success,38.73530219984241,False,0.03467815599007698,,,,,,549.2657473337385,1221.0529939041949,1.0356011448971414,0.23159053724076512,0.2624094627592348,0.3564389795601708,1553.300093214545,7093.0717830885615,False,7.015765306635217,0.01261189729878869,1.522388158537069,0.0012452305034708717,0.03553213816925971,0.03552968638185983,0.00560030321068794,0.02478117355258189,0.005600303210688273,0.02089589232101623,0.001975080019002984,0.005572020229872791,10.905587185672857,0.00697196495468713,162.7843092710891,0.022434886690007465,162.7843092710891,0.03552968638185983,False
up,hc,11,success,74.1240806998685,False,0.040108658695676445,,,,,,548.8056342658115,1221.200637656562,0.9798351148900976,0.22502000472784223,0.2689799952721578,0.3533597452548403,1532.6886312975728,7083.269408533503,False,7.475878374562285,0.013439020001003178,1.3747444061698388,0.0011244659645038549,0.020233891837784124,0.020232495659461783,0.0009702293022349484,0.004293235530283225,0.0009702293022347264,0.0036201266723377857,0.0011041542863274856,0.003114997853820225,31.51704910264516,0.020148916154415962,172.58668382614724,0.02378584713220531,172.58668382614724,0.02378584713220531,False
up,hc,10,success,35.07272699987516,False,0.029953088815690202,,,,,,551.5018522812258,1221.2501637640094,0.9761776341108062,0.22775809911499645,0.2662419008850035,0.35134829987467375,1538.6691754614553,7108.806647898151,False,4.779660359148011,0.008592161074096268,1.3252182987225751,0.001083956309088004,0.023891372617075524,0.023889724065387776,0.0017678650849192734,0.007822749918848206,0.0017678650849196065,0.006596271141544902,0.003115599666494051,0.008789610650131107,25.53650493876262,0.016325541620734203,147.04944446149966,0.020266312147003765,147.04944446149966,0.023889724065387776,False
